1
Batter1
(0.00, 18.44, 33.55)
(0.74, 17.54, 34.46)
(1.49, 16.64, 35.27)
(2.23, 15.74, 35.98)
(2.98, 14.84, 36.60)
(3.72, 13.94, 37.11)
(4.47, 13.04, 37.53)
(5.21, 12.15, 37.85)
(5.95, 11.25, 38.07)
(6.70, 10.35, 38.20)
(7.44, 9.45, 38.23)
(8.19, 8.55, 38.15)
(8.93, 7.65, 37.98)
(9.68, 6.75, 37.72)
(10.42, 5.85, 37.35)
(11.16, 4.95, 36.89)
(11.91, 4.05, 36.33)
(12.65, 3.15, 35.67)
(13.40, 2.25, 34.91)
(14.14, 1.35, 34.05)
(14.88, 0.45, 33.10)
(15.63, -0.44, 32.05)
(16.37, -1.34, 30.90)
(17.12, -2.24, 29.65)
(17.86, -3.14, 28.31)
(18.61, -4.04, 26.86)
(19.35, -4.94, 25.32)
(20.09, -5.84, 23.68)
(20.84, -6.74, 21.94)
(21.58, -7.64, 20.11)
(22.33, -8.54, 18.18)
(23.07, -9.44, 16.14)
(23.82, -10.34, 14.01)
(24.56, -11.24, 11.79)
(25.30, -12.14, 9.46)
(26.05, -13.03, 7.04)
(26.79, -13.93, 4.52)
(27.54, -14.83, 1.90)
(28.28, -15.73, -0.82)

2
Batter1
(0.00, 18.44, 33.55)
(0.74, 17.54, 34.46)
(1.49, 16.64, 35.27)
(2.23, 15.74, 35.98)
(2.97, 14.84, 36.59)
(3.72, 13.94, 37.11)
(4.46, 13.04, 37.53)
(5.20, 12.14, 37.85)
(5.94, 11.25, 38.07)
(6.69, 10.35, 38.19)
(7.43, 9.45, 38.22)
(8.17, 8.55, 38.15)
(8.92, 7.65, 37.98)
(9.66, 6.75, 37.71)
(10.40, 5.85, 37.34)
(11.15, 4.95, 36.88)
(11.89, 4.05, 36.32)
(12.63, 3.15, 35.66)
(13.38, 2.25, 34.90)
(14.12, 1.35, 34.04)
(14.86, 0.45, 33.09)
(15.60, -0.45, 32.04)
(16.35, -1.35, 30.89)
(17.09, -2.24, 29.64)
(17.83, -3.14, 28.29)
(18.58, -4.04, 26.85)
(19.32, -4.94, 25.31)
(20.06, -5.84, 23.67)
(20.81, -6.74, 21.93)
(21.55, -7.64, 20.09)
(22.29, -8.54, 18.16)
(23.03, -9.44, 16.13)
(23.78, -10.34, 14.00)
(24.52, -11.24, 11.77)
(25.26, -12.14, 9.44)
(26.01, -13.04, 7.02)
(26.75, -13.94, 4.50)
(27.49, -14.84, 1.88)
(28.24, -15.73, -0.84)

3
Batter1
(0.00, 18.44, 33.55)
(0.74, 17.54, 34.46)
(1.48, 16.64, 35.27)
(2.23, 15.74, 35.98)
(2.97, 14.84, 36.59)
(3.71, 13.94, 37.11)
(4.45, 13.04, 37.53)
(5.19, 12.14, 37.84)
(5.93, 11.24, 38.07)
(6.68, 10.35, 38.19)
(7.42, 9.45, 38.22)
(8.16, 8.55, 38.14)
(8.90, 7.65, 37.97)
(9.64, 6.75, 37.70)
(10.39, 5.85, 37.34)
(11.13, 4.95, 36.87)
(11.87, 4.05, 36.31)
(12.61, 3.15, 35.65)
(13.35, 2.25, 34.89)
(14.10, 1.35, 34.03)
(14.84, 0.45, 33.08)
(15.58, -0.45, 32.03)
(16.32, -1.35, 30.88)
(17.06, -2.25, 29.63)
(17.80, -3.15, 28.28)
(18.55, -4.05, 26.84)
(19.29, -4.94, 25.30)
(20.03, -5.84, 23.65)
(20.77, -6.74, 21.92)
(21.51, -7.64, 20.08)
(22.26, -8.54, 18.15)
(23.00, -9.44, 16.11)
(23.74, -10.34, 13.98)
(24.48, -11.24, 11.75)
(25.22, -12.14, 9.43)
(25.97, -13.04, 7.00)
(26.71, -13.94, 4.48)
(27.45, -14.84, 1.86)
(28.19, -15.74, -0.86)

4
Batter2
(0.00, 18.44, 33.55)
(0.74, 17.54, 34.46)
(1.48, 16.64, 35.27)
(2.22, 15.74, 35.98)
(2.96, 14.84, 36.59)
(3.70, 13.94, 37.11)
(4.44, 13.04, 37.52)
(5.18, 12.14, 37.84)
(5.93, 11.24, 38.06)
(6.67, 10.34, 38.19)
(7.41, 9.45, 38.21)
(8.15, 8.55, 38.14)
(8.89, 7.65, 37.97)
(9.63, 6.75, 37.70)
(10.37, 5.85, 37.33)
(11.11, 4.95, 36.87)
(11.85, 4.05, 36.30)
(12.59, 3.15, 35.64)
(13.33, 2.25, 34.88)
(14.07, 1.35, 34.03)
(14.81, 0.45, 33.07)
(15.55, -0.45, 32.02)
(16.29, -1.35, 30.87)
(17.04, -2.25, 29.62)
(17.78, -3.15, 28.27)
(18.52, -4.05, 26.83)
(19.26, -4.95, 25.28)
(20.00, -5.85, 23.64)
(20.74, -6.75, 21.90)
(21.48, -7.64, 20.07)
(22.22, -8.54, 18.13)
(22.96, -9.44, 16.10)
(23.70, -10.34, 13.97)
(24.44, -11.24, 11.74)
(25.18, -12.14, 9.41)
(25.92, -13.04, 6.99)
(26.66, -13.94, 4.46)
(27.40, -14.84, 1.84)
(28.15, -15.74, -0.88)
