0.00   (105.00, 0.00, 100.00)   (20.00, 0.00, 120.00)
0.01   (100.18, 31.45, 111.11)   (19.08, 5.99, 131.11)
0.02   (86.16, 60.02, 122.22)   (16.41, 11.43, 142.22)
0.03   (64.22, 83.07, 133.33)   (12.23, 15.82, 153.33)
0.04   (36.39, 98.49, 144.44)   (6.93, 18.76, 164.44)
0.05   (5.21, 104.87, 155.56)   (0.99, 19.98, 175.56)
0.06   (-26.44, 101.62, 166.67)   (-5.04, 19.36, 186.67)
0.07   (-55.67, 89.03, 177.78)   (-10.60, 16.96, 197.78)
0.08   (-79.78, 68.26, 188.89)   (-15.20, 13.00, 208.89)
0.09   (-96.57, 41.23, 200.00)   (-18.39, 7.85, 220.00)
