홈플레이트 (0,0,0), 공 시작 (0, 18.44, 33.55) : z 좌표 마운드 평균 높이 31.75 + 투수 키 1.8

1. 속도 비율 x 방향 0.03, y 방향 0.95, z 방향 0.02 최종 속력
155km/h
(0.00, 18.44, 33.55)
(0.74, 17.54, 34.46)
(1.49, 16.64, 35.27)
(2.23, 15.74, 35.98)
(2.98, 14.84, 36.60)
(3.72, 13.94, 37.11)
(4.47, 13.04, 37.53)
(5.21, 12.15, 37.85)
(5.95, 11.25, 38.07)
(6.70, 10.35, 38.20)
(7.44, 9.45, 38.23)
(8.19, 8.55, 38.15)
(8.93, 7.65, 37.98)
(9.68, 6.75, 37.72)
(10.42, 5.85, 37.35)
(11.16, 4.95, 36.89)
(11.91, 4.05, 36.33)
(12.65, 3.15, 35.67)
(13.40, 2.25, 34.91)
(14.14, 1.35, 34.05)
(14.88, 0.45, 33.10)
(15.63, -0.44, 32.05)
(16.37, -1.34, 30.90)
(17.12, -2.24, 29.65)
(17.86, -3.14, 28.31)
(18.61, -4.04, 26.86)
(19.35, -4.94, 25.32)
(20.09, -5.84, 23.68)
(20.84, -6.74, 21.94)
(21.58, -7.64, 20.11)
(22.33, -8.54, 18.18)
(23.07, -9.44, 16.14)
(23.82, -10.34, 14.01)
(24.56, -11.24, 11.79)
(25.30, -12.14, 9.46)
(26.05, -13.03, 7.04)
(26.79, -13.93, 4.52)
(27.54, -14.83, 1.90)
(28.28, -15.73, -0.82)

154km/h
(0.00, 18.44, 33.55)
(0.74, 17.54, 34.46)
(1.49, 16.64, 35.27)
(2.23, 15.74, 35.98)
(2.97, 14.84, 36.59)
(3.72, 13.94, 37.11)
(4.46, 13.04, 37.53)
(5.20, 12.14, 37.85)
(5.94, 11.25, 38.07)
(6.69, 10.35, 38.19)
(7.43, 9.45, 38.22)
(8.17, 8.55, 38.15)
(8.92, 7.65, 37.98)
(9.66, 6.75, 37.71)
(10.40, 5.85, 37.34)
(11.15, 4.95, 36.88)
(11.89, 4.05, 36.32)
(12.63, 3.15, 35.66)
(13.38, 2.25, 34.90)
(14.12, 1.35, 34.04)
(14.86, 0.45, 33.09)
(15.60, -0.45, 32.04)
(16.35, -1.35, 30.89)
(17.09, -2.24, 29.64)
(17.83, -3.14, 28.29)
(18.58, -4.04, 26.85)
(19.32, -4.94, 25.31)
(20.06, -5.84, 23.67)
(20.81, -6.74, 21.93)
(21.55, -7.64, 20.09)
(22.29, -8.54, 18.16)
(23.03, -9.44, 16.13)
(23.78, -10.34, 14.00)
(24.52, -11.24, 11.77)
(25.26, -12.14, 9.44)
(26.01, -13.04, 7.02)
(26.75, -13.94, 4.50)
(27.49, -14.84, 1.88)
(28.24, -15.73, -0.84)

153km/h
(0.00, 18.44, 33.55)
(0.74, 17.54, 34.46)
(1.48, 16.64, 35.27)
(2.23, 15.74, 35.98)
(2.97, 14.84, 36.59)
(3.71, 13.94, 37.11)
(4.45, 13.04, 37.53)
(5.19, 12.14, 37.84)
(5.93, 11.24, 38.07)
(6.68, 10.35, 38.19)
(7.42, 9.45, 38.22)
(8.16, 8.55, 38.14)
(8.90, 7.65, 37.97)
(9.64, 6.75, 37.70)
(10.39, 5.85, 37.34)
(11.13, 4.95, 36.87)
(11.87, 4.05, 36.31)
(12.61, 3.15, 35.65)
(13.35, 2.25, 34.89)
(14.10, 1.35, 34.03)
(14.84, 0.45, 33.08)
(15.58, -0.45, 32.03)
(16.32, -1.35, 30.88)
(17.06, -2.25, 29.63)
(17.80, -3.15, 28.28)
(18.55, -4.05, 26.84)
(19.29, -4.94, 25.30)
(20.03, -5.84, 23.65)
(20.77, -6.74, 21.92)
(21.51, -7.64, 20.08)
(22.26, -8.54, 18.15)
(23.00, -9.44, 16.11)
(23.74, -10.34, 13.98)
(24.48, -11.24, 11.75)
(25.22, -12.14, 9.43)
(25.97, -13.04, 7.00)
(26.71, -13.94, 4.48)
(27.45, -14.84, 1.86)
(28.19, -15.74, -0.86)

152km/h
(0.00, 18.44, 33.55)
(0.74, 17.54, 34.46)
(1.48, 16.64, 35.27)
(2.22, 15.74, 35.98)
(2.96, 14.84, 36.59)
(3.70, 13.94, 37.11)
(4.44, 13.04, 37.52)
(5.18, 12.14, 37.84)
(5.93, 11.24, 38.06)
(6.67, 10.34, 38.19)
(7.41, 9.45, 38.21)
(8.15, 8.55, 38.14)
(8.89, 7.65, 37.97)
(9.63, 6.75, 37.70)
(10.37, 5.85, 37.33)
(11.11, 4.95, 36.87)
(11.85, 4.05, 36.30)
(12.59, 3.15, 35.64)
(13.33, 2.25, 34.88)
(14.07, 1.35, 34.03)
(14.81, 0.45, 33.07)
(15.55, -0.45, 32.02)
(16.29, -1.35, 30.87)
(17.04, -2.25, 29.62)
(17.78, -3.15, 28.27)
(18.52, -4.05, 26.83)
(19.26, -4.95, 25.28)
(20.00, -5.85, 23.64)
(20.74, -6.75, 21.90)
(21.48, -7.64, 20.07)
(22.22, -8.54, 18.13)
(22.96, -9.44, 16.10)
(23.70, -10.34, 13.97)
(24.44, -11.24, 11.74)
(25.18, -12.14, 9.41)
(25.92, -13.04, 6.99)
(26.66, -13.94, 4.46)
(27.40, -14.84, 1.84)
(28.15, -15.74, -0.88)

151km/h
(0.00, 18.44, 33.55)
(0.74, 17.54, 34.46)
(1.48, 16.64, 35.26)
(2.22, 15.74, 35.98)
(2.96, 14.84, 36.59)
(3.70, 13.94, 37.10)
(4.44, 13.04, 37.52)
(5.18, 12.14, 37.84)
(5.92, 11.24, 38.06)
(6.66, 10.34, 38.18)
(7.39, 9.44, 38.20)
(8.13, 8.54, 38.13)
(8.87, 7.65, 37.96)
(9.61, 6.75, 37.69)
(10.35, 5.85, 37.32)
(11.09, 4.95, 36.86)
(11.83, 4.05, 36.29)
(12.57, 3.15, 35.63)
(13.31, 2.25, 34.87)
(14.05, 1.35, 34.02)
(14.79, 0.45, 33.06)
(15.53, -0.45, 32.01)
(16.27, -1.35, 30.85)
(17.01, -2.25, 29.61)
(17.75, -3.15, 28.26)
(18.49, -4.05, 26.81)
(19.23, -4.95, 25.27)
(19.97, -5.85, 23.63)
(20.71, -6.75, 21.89)
(21.44, -7.65, 20.05)
(22.18, -8.55, 18.11)
(22.92, -9.45, 16.08)
(23.66, -10.35, 13.95)
(24.40, -11.25, 11.72)
(25.14, -12.14, 9.39)
(25.88, -13.04, 6.97)
(26.62, -13.94, 4.44)
(27.36, -14.84, 1.82)
(28.10, -15.74, -0.90)

150km/h
(0.00, 18.44, 33.55)
(0.74, 17.54, 34.46)
(1.48, 16.64, 35.26)
(2.21, 15.74, 35.97)
(2.95, 14.84, 36.59)
(3.69, 13.94, 37.10)
(4.43, 13.04, 37.52)
(5.17, 12.14, 37.83)
(5.91, 11.24, 38.05)
(6.64, 10.34, 38.18)
(7.38, 9.44, 38.20)
(8.12, 8.54, 38.13)
(8.86, 7.64, 37.95)
(9.60, 6.74, 37.68)
(10.34, 5.85, 37.32)
(11.07, 4.95, 36.85)
(11.81, 4.05, 36.29)
(12.55, 3.15, 35.62)
(13.29, 2.25, 34.86)
(14.03, 1.35, 34.01)
(14.77, 0.45, 33.05)
(15.50, -0.45, 32.00)
(16.24, -1.35, 30.84)
(16.98, -2.25, 29.59)
(17.72, -3.15, 28.25)
(18.46, -4.05, 26.80)
(19.19, -4.95, 25.26)
(19.93, -5.85, 23.61)
(20.67, -6.75, 21.87)
(21.41, -7.65, 20.04)
(22.15, -8.55, 18.10)
(22.89, -9.45, 16.07)
(23.62, -10.35, 13.93)
(24.36, -11.25, 11.70)
(25.10, -12.15, 9.38)
(25.84, -13.05, 6.95)
(26.58, -13.95, 4.43)
(27.32, -14.85, 1.80)
(28.05, -15.75, -0.92)

149km/h
(0.00, 18.44, 33.55)
(0.74, 17.54, 34.46)
(1.47, 16.64, 35.26)
(2.21, 15.74, 35.97)
(2.95, 14.84, 36.58)
(3.69, 13.94, 37.10)
(4.42, 13.04, 37.51)
(5.16, 12.14, 37.83)
(5.90, 11.24, 38.05)
(6.63, 10.34, 38.17)
(7.37, 9.44, 38.19)
(8.11, 8.54, 38.12)
(8.84, 7.64, 37.95)
(9.58, 6.74, 37.68)
(10.32, 5.84, 37.31)
(11.06, 4.94, 36.84)
(11.79, 4.04, 36.28)
(12.53, 3.15, 35.61)
(13.27, 2.25, 34.85)
(14.00, 1.35, 34.00)
(14.74, 0.45, 33.04)
(15.48, -0.45, 31.98)
(16.21, -1.35, 30.83)
(16.95, -2.25, 29.58)
(17.69, -3.15, 28.23)
(18.43, -4.05, 26.79)
(19.16, -4.95, 25.24)
(19.90, -5.85, 23.60)
(20.64, -6.75, 21.86)
(21.37, -7.65, 20.02)
(22.11, -8.55, 18.08)
(22.85, -9.45, 16.05)
(23.58, -10.35, 13.92)
(24.32, -11.25, 11.69)
(25.06, -12.15, 9.36)
(25.80, -13.05, 6.93)
(26.53, -13.95, 4.41)
(27.27, -14.85, 1.78)
(28.01, -15.75, -0.94)

148km/h
(0.00, 18.44, 33.55)
(0.74, 17.54, 34.45)
(1.47, 16.64, 35.26)
(2.21, 15.74, 35.97)
(2.94, 14.84, 36.58)
(3.68, 13.94, 37.09)
(4.41, 13.04, 37.51)
(5.15, 12.14, 37.83)
(5.89, 11.24, 38.05)
(6.62, 10.34, 38.17)
(7.36, 9.44, 38.19)
(8.09, 8.54, 38.11)
(8.83, 7.64, 37.94)
(9.57, 6.74, 37.67)
(10.30, 5.84, 37.30)
(11.04, 4.94, 36.83)
(11.77, 4.04, 36.27)
(12.51, 3.14, 35.61)
(13.24, 2.24, 34.85)
(13.98, 1.34, 33.99)
(14.72, 0.44, 33.03)
(15.45, -0.46, 31.97)
(16.19, -1.35, 30.82)
(16.92, -2.25, 29.57)
(17.66, -3.15, 28.22)
(18.39, -4.05, 26.77)
(19.13, -4.95, 25.23)
(19.87, -5.85, 23.59)
(20.60, -6.75, 21.84)
(21.34, -7.65, 20.01)
(22.07, -8.55, 18.07)
(22.81, -9.45, 16.03)
(23.55, -10.35, 13.90)
(24.28, -11.25, 11.67)
(25.02, -12.15, 9.34)
(25.75, -13.05, 6.91)
(26.49, -13.95, 4.39)
(27.22, -14.85, 1.76)
(27.96, -15.75, -0.96)

147km/h
